radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,created_dt,updated_dt,network_type,provider,governorate,district,elevation_m
GSM,415,1,6125,997,0,35.5249,33.8812,1000,17,1,1346069142,1724045164,0,2012-08-27 12:05:42+00:00,2024-08-19 05:26:04+00:00,2G,Alfa,Beirut,Beirut,43
UMTS,415,3,901,19759729,142,35.5401,33.8967,2276,19,1,1370092590,1751919364,0,2013-06-01 13:16:30+00:00,2025-07-07 20:16:04+00:00,3G,Touch,Mount Lebanon,El Meten,28
UMTS,415,1,3106,404257,250,35.5755,33.9066,2227,29,1,1372325529,1725390182,0,2013-06-27 09:32:09+00:00,2024-09-03 19:03:02+00:00,3G,Alfa,Mount Lebanon,El Meten,32
GSM,415,3,610,3232,0,35.629,33.9283,500,50,1,1376686842,1727694066,0,2013-08-16 21:00:42+00:00,2024-09-30 11:01:06+00:00,2G,Touch,Mount Lebanon,El Meten,386
UMTS,415,3,901,19756680,291,35.5277,33.8993,1000,9,1,1382433923,1751919364,0,2013-10-22 09:25:23+00:00,2025-07-07 20:16:04+00:00,3G,Touch,Beirut,Beirut,43
UMTS,415,3,901,19756434,194,35.5485,33.8942,1000,9,1,1400110243,1751919364,0,2014-05-14 23:30:43+00:00,2025-07-07 20:16:04+00:00,3G,Touch,Mount Lebanon,El Meten,33
UMTS,415,3,921,19756489,179,35.5618,33.8938,500,25,1,1400660511,1751919367,0,2014-05-21 08:21:51+00:00,2025-07-07 20:16:07+00:00,3G,Touch,Mount Lebanon,El Meten,44
UMTS,415,3,901,19756452,504,35.5115,33.8933,2129,15,1,1458839841,1751919364,0,2016-03-24 17:17:21+00:00,2025-07-07 20:16:04+00:00,3G,Touch,Beirut,Beirut,74
UMTS,415,1,5102,363792,340,35.6955,33.7987,2062,32,1,1427309158,1727249704,0,2015-03-25 18:45:58+00:00,2024-09-25 07:35:04+00:00,3G,Alfa,Mount Lebanon,Aley,1297
UMTS,415,1,5102,382712,109,35.7456,33.8073,3036,40,1,1427309158,1727249944,0,2015-03-25 18:45:58+00:00,2024-09-25 07:39:04+00:00,3G,Alfa,Mount Lebanon,Baabda,1523
UMTS,415,1,5102,363793,348,35.6985,33.798,1132,16,1,1427309158,1727249704,0,2015-03-25 18:45:58+00:00,2024-09-25 07:35:04+00:00,3G,Alfa,Mount Lebanon,Aley,1274
UMTS,415,1,5102,364783,324,35.6789,33.7999,1000,24,1,1427182470,1727249704,0,2015-03-24 07:34:30+00:00,2024-09-25 07:35:04+00:00,3G,Alfa,Mount Lebanon,Aley,1251
UMTS,415,1,5102,362761,446,35.6424,33.8099,1743,18,1,1427309158,1727249703,0,2015-03-25 18:45:58+00:00,2024-09-25 07:35:03+00:00,3G,Alfa,Mount Lebanon,Baabda,1079
UMTS,415,1,3106,409349,460,35.5194,33.8968,1000,7,1,1427309158,1727248144,0,2015-03-25 18:45:58+00:00,2024-09-25 07:09:04+00:00,3G,Alfa,Beirut,Beirut,36
UMTS,415,1,3106,405517,434,35.536,33.8981,1000,16,1,1428060186,1727248144,0,2015-04-03 11:23:06+00:00,2024-09-25 07:09:04+00:00,3G,Alfa,Beirut,Beirut,31
UMTS,415,1,3106,406869,19,35.5798,33.9107,1000,75,1,1428060186,1725390182,0,2015-04-03 11:23:06+00:00,2024-09-03 19:03:02+00:00,3G,Alfa,Mount Lebanon,El Meten,29
UMTS,415,1,5102,364782,316,35.6935,33.798,2013,16,1,1428425961,1727249704,0,2015-04-07 16:59:21+00:00,2024-09-25 07:35:04+00:00,3G,Alfa,Mount Lebanon,Aley,1291
UMTS,415,1,5102,362763,503,35.6288,33.8141,5396,26,1,1428425961,1727249345,0,2015-04-07 16:59:21+00:00,2024-09-25 07:29:05+00:00,3G,Alfa,Mount Lebanon,Baabda,1028
UMTS,415,1,3106,410617,334,35.5759,33.907,7543,110,1,1428587790,1725390182,0,2015-04-09 13:56:30+00:00,2024-09-03 19:03:02+00:00,3G,Alfa,Mount Lebanon,El Meten,33
UMTS,415,1,3106,409980,244,35.5127,33.897,1000,10,1,1428587790,1727248144,0,2015-04-09 13:56:30+00:00,2024-09-25 07:09:04+00:00,3G,Alfa,Beirut,Beirut,37
LTE,415,3,122,1798663,0,35.495,33.8762,1000,9,1,1430243697,1755264542,0,2015-04-28 17:54:57+00:00,2025-08-15 13:29:02+00:00,4G,Touch,Beirut,Beirut,68
UMTS,415,3,901,19759608,153,35.5005,33.891,1210,25,1,1430461418,1725390183,0,2015-05-01 06:23:38+00:00,2024-09-03 19:03:03+00:00,3G,Touch,Beirut,Beirut,96
UMTS,415,3,901,19757967,322,35.5196,33.888,1000,7,1,1445973645,1751919364,0,2015-10-27 19:20:45+00:00,2025-07-07 20:16:04+00:00,3G,Touch,Beirut,Beirut,126
UMTS,415,3,921,19757387,72,35.5458,33.8812,1000,3,1,1457316299,1751919365,0,2016-03-07 02:04:59+00:00,2025-07-07 20:16:05+00:00,3G,Touch,Mount Lebanon,El Meten,41
UMTS,415,3,921,19747392,72,35.5434,33.8812,1000,14,1,1457336159,1751919365,0,2016-03-07 07:35:59+00:00,2025-07-07 20:16:05+00:00,3G,Touch,Mount Lebanon,El Meten,40
UMTS,415,3,901,19757422,324,35.5191,33.8922,1000,15,1,1458839841,1725390182,0,2016-03-24 17:17:21+00:00,2024-09-03 19:03:02+00:00,3G,Touch,Beirut,Beirut,88
UMTS,415,3,921,19747390,74,35.5451,33.8837,622,35,1,1458870936,1751919365,0,2016-03-25 01:55:36+00:00,2025-07-07 20:16:05+00:00,3G,Touch,Mount Lebanon,El Meten,36
GSM,415,1,6100,4845,0,35.8483,33.7527,6966,17,1,1458558155,1726311247,0,2016-03-21 11:02:35+00:00,2024-09-14 10:54:07+00:00,2G,Alfa,Bekaa,Zahle,889
GSM,415,1,6125,213,0,35.5317,33.8661,1000,45,1,1458265718,1723647485,0,2016-03-18 01:48:38+00:00,2024-08-14 14:58:05+00:00,2G,Alfa,Mount Lebanon,El Meten,44
